model_id,num_topics,epochs,learning_rate,batch_size,coherence_score,topic_diversity
26,3,10,0.002,128,0.3428245533999186,0.9666666666666667
6,2,5,0.01,128,0.3376986510360631,1.0
44,4,10,0.002,128,0.3330792929072382,1.0
47,4,10,0.01,64,0.3138003349499944,0.925
29,3,10,0.01,64,0.3110276010653406,1.0
53,4,20,0.01,64,0.30804469385825795,0.95
37,4,5,0.002,64,0.3073074800696735,0.975
25,3,10,0.002,64,0.30454712884672624,0.9333333333333333
36,3,20,0.01,128,0.3012728025240532,0.9666666666666667
52,4,20,0.005,128,0.2986877577072788,0.875
51,4,20,0.005,64,0.2978874880140472,0.9
45,4,10,0.005,64,0.29668479659424196,0.975
30,3,10,0.01,128,0.28963804782799035,1.0
24,3,5,0.01,128,0.28859776201998916,1.0
1,2,5,0.002,64,0.28855560474755415,1.0
41,4,5,0.01,64,0.28853768468920815,0.95
2,2,5,0.002,128,0.28625185224684147,1.0
18,2,20,0.01,128,0.2837079137287246,1.0
11,2,10,0.01,64,0.2829086163087088,1.0
15,2,20,0.005,64,0.28290399271788863,1.0
23,3,5,0.01,64,0.28145598310909115,1.0
3,2,5,0.005,64,0.28070728231338227,1.0
49,4,20,0.002,64,0.2804417184828398,0.925
28,3,10,0.005,128,0.2795979384377751,1.0
48,4,10,0.01,128,0.2787893242943634,0.95
7,2,10,0.002,64,0.2785854837457515,1.0
35,3,20,0.01,64,0.2768739204386472,0.9
31,3,20,0.002,64,0.27592491293263377,0.8666666666666667
10,2,10,0.005,128,0.2757991517995439,1.0
20,3,5,0.002,128,0.27421164822987304,1.0
14,2,20,0.002,128,0.27029810659200443,1.0
43,4,10,0.002,64,0.2701582491064065,0.9
9,2,10,0.005,64,0.2697578137000051,1.0
16,2,20,0.005,128,0.26962323762480966,1.0
46,4,10,0.005,128,0.2690587768937157,0.925
33,3,20,0.005,64,0.26644165347835796,1.0
19,3,5,0.002,64,0.2650984948926471,0.9333333333333333
17,2,20,0.01,64,0.26331548796143456,1.0
27,3,10,0.005,64,0.26323868292365254,1.0
50,4,20,0.002,128,0.2608986740505297,0.95
8,2,10,0.002,128,0.2546801394923125,1.0
40,4,5,0.005,128,0.2536489817773009,0.975
5,2,5,0.01,64,0.2531007006746928,1.0
21,3,5,0.005,64,0.252337144612682,0.9666666666666667
38,4,5,0.002,128,0.2513012325029665,0.975
22,3,5,0.005,128,0.24829744936601697,0.9666666666666667
34,3,20,0.005,128,0.2480177354655805,1.0
39,4,5,0.005,64,0.2449177160952477,0.95
4,2,5,0.005,128,0.24346203882980622,1.0
13,2,20,0.002,64,0.24292930832174198,1.0
54,4,20,0.01,128,0.23422265761736188,0.9
42,4,5,0.01,128,0.2307857158846533,0.925
32,3,20,0.002,128,0.22572857006353,1.0
12,2,10,0.01,128,0.2195760431233174,1.0
